code,description,last_updated
   BO,"Orally administered nutrition, not by feeding tube",09/11/2025
   BP,The beneficiary has been informed of the purchase and rental options and has elected to purchase the item,09/11/2025
   BR,The beneficiary has been informed of the purchase and rental options and has elected to rent the item,09/11/2025
   BU,The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision,09/11/2025
   CA,Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission,09/11/2025
   CB,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable",09/11/2025
   CC,Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed),09/11/2025
   CD,Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable,09/11/2025
   CE,Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity,09/11/2025
   CF,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,09/11/2025
   CG,Policy criteria applied,09/11/2025
   CH,"0 percent impaired, limited or restricted",09/11/2025
   CI,"At least 1 percent but less than 20 percent impaired, limited or restricted",09/11/2025
   CJ,"At least 20 percent but less than 40 percent impaired, limited or restricted",09/11/2025
   CK,"At least 40 percent but less than 60 percent impaired, limited or restricted",09/11/2025
   CL,"At least 60 percent but less than 80 percent impaired, limited or restricted",09/11/2025
   CM,"At least 80 percent but less than 100 percent impaired, limited or restricted",09/11/2025
   CN,"100 percent impaired, limited or restricted",09/11/2025
   CO,Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant,09/11/2025
   CP,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim",09/11/2025
   CQ,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant,09/11/2025
   CR,Catastrophe/disaster related,09/11/2025
   CS,Cost-sharing waived for specified covid-19 testing-related services that result in and order for or administration of a covid-19 test and/or used for cost-sharing waived preventive services furnished via telehealth in rural health clinics and federally qualified health centers during the covid-19 public health emergency,09/11/2025
   CT,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard,09/11/2025
   DA,Oral health assessment by a licensed health professional other than a dentist,09/11/2025
   E1,"Upper left, eyelid",09/11/2025
   E2,"Lower left, eyelid",09/11/2025
   E3,"Upper right, eyelid",09/11/2025
   E4,"Lower right, eyelid",09/11/2025
   EA,Erythropoietic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy,09/11/2025
   EB,Erythropoietic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy,09/11/2025
   EC,Erythropoietic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,09/11/2025
   ED,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,09/11/2025
   EE,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,09/11/2025
   EJ,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",09/11/2025
   EM,Emergency reserve supply (for esrd benefit only),09/11/2025
   EP,Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program,09/11/2025
   ER,"Items and services furnished by a provider-based, off-campus emergency department",09/11/2025
   ET,Emergency services,09/11/2025
   EX,Expatriate beneficiary,09/11/2025
   EY,No physician or other licensed health care provider order for this item or service,09/11/2025
   F1,"Left hand, second digit",09/11/2025
   F2,"Left hand, third digit",09/11/2025
   F3,"Left hand, fourth digit",09/11/2025
   F4,"Left hand, fifth digit",09/11/2025
   F5,"Right hand, thumb",09/11/2025
   F6,"Right hand, second digit",09/11/2025
   F7,"Right hand, third digit",09/11/2025
   F8,"Right hand, fourth digit",09/11/2025
   F9,"Right hand, fifth digit",09/11/2025
   FA,"Left hand, thumb",09/11/2025
   FB,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)",09/11/2025
   FC,Partial credit received for replaced device,09/11/2025
   FP,Service provided as part of family planning program,09/11/2025
   FQ,The service was furnished using audio-only communication technology,09/11/2025
   FR,"The supervising practitioner was present through two-way, audio/video communication technology",09/11/2025
   FS,Split (or shared) evaluation and management visit,09/11/2025
   FT,"Unrelated evaluation and management (e/m) visit on the same day as another e/m visit or during a global procedure (preoperative, postoperative period, or on the same day as the procedure, as applicable). (report when an e/m visit is furnished within the global period but is unrelated, or when one or more additional e/m visits furnished on the same day are unrelated)",09/11/2025
   FX,X-ray taken using film,09/11/2025
   FY,X-ray taken using computed radiography technology/cassette-based imaging,09/11/2025
   G0,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",09/11/2025
   G1,Most recent urr reading of less than 60,09/11/2025
   G2,Most recent urr reading of 60 to 64.9,09/11/2025
   G3,Most recent urr reading of 65 to 69.9,09/11/2025
   G4,Most recent urr reading of 70 to 74.9,09/11/2025
   G5,Most recent urr reading of 75 or greater,09/11/2025
   G6,Esrd patient for whom less than six dialysis sessions have been provided in a month,09/11/2025
   G7,Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening,09/11/2025
   G8,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",09/11/2025
   G9,Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition,09/11/2025
   GA,"Waiver of liability statement issued as required by payer policy, individual case",09/11/2025
   GB,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,09/11/2025
   GC,This service has been performed in part by a resident under the direction of a teaching physician,09/11/2025
   GD,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services,09/11/2025
   GE,This service has been performed by a resident without the presence of a teaching physician under the primary care exception,09/11/2025
   GF,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital",09/11/2025
   GG,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day",09/11/2025
   GH,Diagnostic mammogram converted from screening mammogram on same day,09/11/2025
   GJ,"""opt out"" physician or practitioner emergency or urgent service",09/11/2025
   GK,Reasonable and necessary item/service associated with a ga or gz modifier,09/11/2025
   GL,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)",09/11/2025
   GM,Multiple patients on one ambulance trip,09/11/2025
   GN,Services delivered under an outpatient speech language pathology plan of care,09/11/2025
   GO,Services delivered under an outpatient occupational therapy plan of care,09/11/2025
   GP,Services delivered under an outpatient physical therapy plan of care,09/11/2025
   GQ,Via asynchronous telecommunications system,09/11/2025
   GR,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy",09/11/2025
   GS,Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level,09/11/2025
   GT,Via interactive audio and video telecommunication systems,09/11/2025
   GU,"Waiver of liability statement issued as required by payer policy, routine notice",09/11/2025
   GV,Attending physician not employed or paid under arrangement by the patient's hospice provider,09/11/2025
   GW,Service not related to the hospice patient's terminal condition,09/11/2025
   GX,"Notice of liability issued, voluntary under payer policy",09/11/2025
   GY,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit",09/11/2025
   GZ,Item or service expected to be denied as not reasonable and necessary,09/11/2025
   H9,Court-ordered,09/11/2025
   HA,Child/adolescent program,09/11/2025
   HB,"Adult program, non geriatric",09/11/2025
   HC,"Adult program, geriatric",09/11/2025
   HD,Pregnant/parenting women's program,09/11/2025
   HE,Mental health program,09/11/2025
   HF,Substance abuse program,09/11/2025
   HG,Opioid addiction treatment program,09/11/2025
   HH,Integrated mental health/substance abuse program,09/11/2025
   HI,Integrated mental health and intellectual disability/developmental disabilities program,09/11/2025
   HJ,Employee assistance program,09/11/2025
   HK,Specialized mental health programs for high-risk populations,09/11/2025
   HL,Intern,09/11/2025
   HM,Less than bachelor degree level,09/11/2025
   HN,Bachelors degree level,09/11/2025
   HO,Masters degree level,09/11/2025
   HP,Doctoral level,09/11/2025
   HQ,Group setting,09/11/2025
   HR,Family/couple with client present,09/11/2025
   HS,Family/couple without client present,09/11/2025
   HT,Multi-disciplinary team,09/11/2025
   HU,Funded by child welfare agency,09/11/2025
   HV,Funded state addictions agency,09/11/2025
   HW,Funded by state mental health agency,09/11/2025
   HX,Funded by county/local agency,09/11/2025
   HY,Funded by juvenile justice agency,09/11/2025
   HZ,Funded by criminal justice agency,09/11/2025
   J1,Competitive acquisition program no-pay submission for a prescription number,09/11/2025
   J2,"Competitive acquisition program, restocking of emergency drugs after emergency administration",09/11/2025
   J3,"Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology",09/11/2025
   J4,Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge,09/11/2025
   J5,Off-the-shelf orthotic subject to dmepos competitive bidding program that is furnished as part of a physical therapist or occupational therapist professional service,09/11/2025
   JA,Administered intravenously,09/11/2025
   JB,Administered subcutaneously,09/11/2025
   JC,Skin substitute used as a graft,09/11/2025
   JD,Skin substitute not used as a graft,09/11/2025
   JE,Administered via dialysate,09/11/2025
   JF,Compounded drug,09/11/2025
   JG,"Drug or biological acquired with 340b drug pricing program discount, reported for informational purposes",09/11/2025
   JK,One month supply or less of drug or biological,09/11/2025
   JL,Three month supply of drug or biological,09/11/2025
   JW,Drug amount discarded/not administered to any patient,09/11/2025
   JZ,Zero drug amount discarded/not administered to any patient,09/11/2025
   K0,Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.,09/11/2025
   K1,Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.,09/11/2025
   K2,"Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.  typical of the limited community ambulator.",09/11/2025
   K3,"Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.  typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion.",09/11/2025
   K4,"Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete.",09/11/2025
   KA,Add on option/accessory for wheelchair,09/11/2025
   KB,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim",09/11/2025
   KC,Replacement of special power wheelchair interface,09/11/2025
   KD,Drug or biological infused through dme,09/11/2025
   KE,Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment,09/11/2025
   KF,Item designated by fda as class iii device,09/11/2025
   KG,Dmepos item subject to dmepos competitive bidding program number 1,09/11/2025
   KH,"Dmepos item, initial claim, purchase or first month rental",09/11/2025
   KI,"Dmepos item, second or third month rental",09/11/2025
   KJ,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen",09/11/2025
   KK,Dmepos item subject to dmepos competitive bidding program number 2,09/11/2025
   KL,Dmepos item delivered via mail,09/11/2025
   KM,Replacement of facial prosthesis including new impression/moulage,09/11/2025
   KN,Replacement of facial prosthesis using previous master model,09/11/2025
   KO,Single drug unit dose formulation,09/11/2025
   KP,First drug of a multiple drug unit dose formulation,09/11/2025
   KQ,Second or subsequent drug of a multiple drug unit dose formulation,09/11/2025
   KR,"Rental item, billing for partial month",09/11/2025
   KS,Glucose monitor supply for diabetic beneficiary not treated with insulin,09/11/2025
   KT,Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item,09/11/2025
   KU,Dmepos item subject to dmepos competitive bidding program number 3,09/11/2025
   KV,Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service,09/11/2025
   KW,Dmepos item subject to dmepos competitive bidding program number 4,09/11/2025
   KX,Requirements specified in the medical policy have been met,09/11/2025
   KY,Dmepos item subject to dmepos competitive bidding program number 5,09/11/2025
   KZ,New coverage not implemented by managed care,09/11/2025
   L1,Provider attestation that the hospital laboratory test(s) is not packaged under the hospital opps,09/11/2025
   LC,Left circumflex coronary artery,09/11/2025
   LD,Left anterior descending coronary artery,09/11/2025
   LL,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price),09/11/2025
   LM,Left main coronary artery,09/11/2025
   LR,Laboratory round trip,09/11/2025
   LS,Fda-monitored intraocular lens implant,09/11/2025
   LT,Left side (used to identify procedures performed on the left side of the body),09/11/2025
   LU,Fractionated payment,09/11/2025
   M2,Medicare secondary payer (msp),09/11/2025
   MA,Ordering professional is not required to consult a clinical decision support mechanism due to service being rendered to a patient with a suspected or confirmed emergency medical condition,09/11/2025
   MB,Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of insufficient internet access,09/11/2025
   MC,Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of electronic health record or clinical decision support mechanism vendor issues,09/11/2025
   MD,Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of extreme and uncontrollable circumstances,09/11/2025
   ME,The order for this service adheres to appropriate use criteria in the clinical decision support mechanism consulted by the ordering professional,09/11/2025
   MF,The order for this service does not adhere to the appropriate use criteria in the clinical decision support mechanism consulted by the ordering professional,09/11/2025
   MG,The order for this service does not have applicable appropriate use criteria in the qualified clinical decision support mechanism consulted by the ordering professional,09/11/2025
   MH,"Unknown if ordering professional consulted a clinical decision support mechanism for this service, related information was not provided to the furnishing professional or provider",09/11/2025
   MS,Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty,09/11/2025
   N1,Group 1 oxygen coverage criteria met,09/11/2025
   N2,Group 2 oxygen coverage criteria met,09/11/2025
   N3,Group 3 oxygen coverage criteria met,09/11/2025
   NB,"Nebulizer system, any type, fda-cleared for use with specific drug",09/11/2025
   NR,New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased),09/11/2025
   NU,New equipment,09/11/2025
   P1,A normal healthy patient,09/11/2025
   P2,A patient with mild systemic disease,09/11/2025
   P3,A patient with severe systemic disease,09/11/2025
   P4,A patient with severe systemic disease that is a constant threat to life,09/11/2025
   P5,A moribund patient who is not expected to survive without the operation,09/11/2025
   P6,A declared brain-dead patient whose organs are being removed for donor purposes,09/11/2025
   PA,Surgical or other invasive procedure on wrong body part,09/11/2025
   PB,Surgical or other invasive procedure on wrong patient,09/11/2025
   PC,Wrong surgery or other invasive procedure on patient,09/11/2025
   PD,Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days,09/11/2025
   PI,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing,09/11/2025
   PL,Progressive addition lenses,09/11/2025
   PM,Post mortem,09/11/2025
   PN,"Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital",09/11/2025
   PO,"Excepted service provided at an off-campus, outpatient, provider-based department of a hospital",09/11/2025
   PS,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy,09/11/2025
   PT,Colorectal cancer screening test; converted to diagnostic test or other procedure,09/11/2025
   Q0,Investigational clinical service provided in a clinical research study that is in an approved clinical research study,09/11/2025
   Q1,Routine clinical service provided in a clinical research study that is in an approved clinical research study,09/11/2025
   Q2,Demonstration procedure/service,09/11/2025
   Q3,Live kidney donor surgery and related services,09/11/2025
   Q4,Service for ordering/referring physician qualifies as a service exemption,09/11/2025
   Q5,"Service furnished under a reciprocal billing arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area",09/11/2025
   Q6,"Service furnished under a fee-for-time compensation arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area",09/11/2025
   Q7,One class a finding,09/11/2025
   Q8,Two class b findings,09/11/2025
   Q9,One class b and two class c findings,09/11/2025
   QA,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is less than 1 liter per minute (lpm),09/11/2025
   QB,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts exceeds 4 liters per minute (lpm) and portable oxygen is prescribed,09/11/2025
   QC,Single channel monitoring,09/11/2025
   QD,Recording and storage in solid state memory by a digital recorder,09/11/2025
   QE,Prescribed amount of stationary oxygen while at rest is less than 1 liter per minute (lpm),09/11/2025
   QF,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per minute (lpm) and portable oxygen is prescribed,09/11/2025
   QG,Prescribed amount of stationary oxygen while at rest is greater than 4 liters per minute (lpm),09/11/2025
   QH,Oxygen conserving device is being used with an oxygen delivery system,09/11/2025
   QJ,"Services/items provided to a prisoner or patient in state or local custody, however the state or local government, as applicable, meets the requirements in 42 cfr 411.4 (b)",09/11/2025
   QK,"Medical direction of two, three, or four concurrent anesthesia procedures involving qualified individuals",09/11/2025
   QL,Patient pronounced dead after ambulance called,09/11/2025
   QM,Ambulance service provided under arrangement by a provider of services,09/11/2025
   QN,Ambulance service furnished directly by a provider of services,09/11/2025
   QP,"Documentation is on file showing that the laboratory test(s) was ordered individually or ordered as a cpt-recognized panel other than automated profile codes 80002-80019, g0058, g0059, and g0060.",09/11/2025
   QQ,Ordering professional consulted a qualified clinical decision support mechanism for this service and the related data was provided to the furnishing professional,09/11/2025
   QR,Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is greater than 4 liters per minute (lpm),09/11/2025
   QS,Monitored anesthesia care service,09/11/2025
   QT,Recording and storage on tape by an analog tape recorder,09/11/2025
   QW,Clia waived test,09/11/2025
   QX,Crna service: with medical direction by a physician,09/11/2025
   QY,Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist,09/11/2025
   QZ,Crna service: without medical direction by a physician,09/11/2025
   RA,"Replacement of a dme, orthotic or prosthetic item",09/11/2025
   RB,"Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair",09/11/2025
   RC,Right coronary artery,09/11/2025
   RD,"Drug provided to beneficiary, but not administered ""incident-to""",09/11/2025
   RE,Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems),09/11/2025
   RI,Ramus intermedius coronary artery,09/11/2025
   RR,Rental (use the 'rr' modifier when dme is to be rented),09/11/2025
   RT,Right side (used to identify procedures performed on the right side of the body),09/11/2025
   SA,Nurse practitioner rendering service in collaboration with a physician,09/11/2025
   SB,Nurse midwife,09/11/2025
   SC,Medically necessary service or supply,09/11/2025
   SD,"Services provided by registered nurse with specialized, highly technical home infusion training",09/11/2025
   SE,State and/or federally-funded programs/services,09/11/2025
   SF,"Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)",09/11/2025
   SG,Ambulatory surgical center (asc) facility service,09/11/2025
   SH,Second concurrently administered infusion therapy,09/11/2025
   SJ,Third or more concurrently administered infusion therapy,09/11/2025
   SK,Member of high risk population (use only with codes for immunization),09/11/2025
   SL,State supplied vaccine,09/11/2025
   SM,Second surgical opinion,09/11/2025
   SN,Third surgical opinion,09/11/2025
   SQ,Item ordered by home health,09/11/2025
   SS,Home infusion services provided in the infusion suite of the iv therapy provider,09/11/2025
   ST,Related to trauma or injury,09/11/2025
   SU,Procedure performed in physician's office (to denote use of facility and equipment),09/11/2025
   SV,Pharmaceuticals delivered to patient's home but not utilized,09/11/2025
   SW,Services provided by a certified diabetic educator,09/11/2025
   SY,Persons who are in close contact with member of high-risk population (use only with codes for immunization),09/11/2025
   SZ,Habilitative services,09/11/2025
   T1,"Left foot, second digit",09/11/2025
   T2,"Left foot, third digit",09/11/2025
   T3,"Left foot, fourth digit",09/11/2025
   T4,"Left foot, fifth digit",09/11/2025
   T5,"Right foot, great toe",09/11/2025
   T6,"Right foot, second digit",09/11/2025
   T7,"Right foot, third digit",09/11/2025
   T8,"Right foot, fourth digit",09/11/2025
   T9,"Right foot, fifth digit",09/11/2025
   TA,"Left foot, great toe",09/11/2025
   TB,"Drug or biological acquired with 340b drug pricing program discount, reported for informational purposes",09/11/2025
   TC,"Technical component; under certain circumstances, a charge may be made for the technical component alone;  under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component charges are institutional charges and not billed separately by physicians; however, portable x-ray suppliers only bill for technical component and should utilize modifier tc; the charge data from portable x-ray suppliers will then be used to build customary and prevailing profiles",09/11/2025
   TD,Rn,09/11/2025
   TE,Lpn/lvn,09/11/2025
   TF,Intermediate level of care,09/11/2025
   TG,Complex/high tech level of care,09/11/2025
   TH,"Obstetrical treatment/services, prenatal or postpartum",09/11/2025
   TJ,"Program group, child and/or adolescent",09/11/2025
   TK,"Extra patient or passenger, non-ambulance",09/11/2025
   TL,Early intervention/individualized family service plan (ifsp),09/11/2025
   TM,Individualized education program (iep),09/11/2025
   TN,Rural/outside providers' customary service area,09/11/2025
   TP,"Medical transport, unloaded vehicle",09/11/2025
   TQ,Basic life support transport by a volunteer ambulance provider,09/11/2025
   TR,School-based individualized education program (iep) services provided outside the public school district responsible for the student,09/11/2025
   TS,Follow-up service,09/11/2025
   TT,Individualized service provided to more than one patient in same setting,09/11/2025
   TU,"Special payment rate, overtime",09/11/2025
   TV,"Special payment rates, holidays/weekends",09/11/2025
   TW,Back-up equipment,09/11/2025
   U1,"Medicaid level of care 1, as defined by each state",09/11/2025
   U2,"Medicaid level of care 2, as defined by each state",09/11/2025
   U3,"Medicaid level of care 3, as defined by each state",09/11/2025
   U4,"Medicaid level of care 4, as defined by each state",09/11/2025
   U5,"Medicaid level of care 5, as defined by each state",09/11/2025
   U6,"Medicaid level of care 6, as defined by each state",09/11/2025
   U7,"Medicaid level of care 7, as defined by each state",09/11/2025
   U8,"Medicaid level of care 8, as defined by each state",09/11/2025
   U9,"Medicaid level of care 9, as defined by each state",09/11/2025
   UA,"Medicaid level of care 10, as defined by each state",09/11/2025
   UB,"Medicaid level of care 11, as defined by each state",09/11/2025
   UC,"Medicaid level of care 12, as defined by each state",09/11/2025
   UD,"Medicaid level of care 13, as defined by each state",09/11/2025
   UE,Used durable medical equipment,09/11/2025
   UF,Services provided in the morning,09/11/2025
   UG,Services provided in the afternoon,09/11/2025
   UH,Services provided in the evening,09/11/2025
   UJ,Services provided at night,09/11/2025
   UK,Services provided on behalf of the client to someone other than the client (collateral relationship),09/11/2025
   UN,Two patients served,09/11/2025
   UP,Three patients served,09/11/2025
   UQ,Four patients served,09/11/2025
   UR,Five patients served,09/11/2025
   US,Six or more patients served,09/11/2025
   V1,Demonstration modifier 1,09/11/2025
   V2,Demonstration modifier 2,09/11/2025
   V3,Demonstration modifier 3,09/11/2025
   V4,Demonstration modifier 4,09/11/2025
   V5,Vascular catheter (alone or with any other vascular access),09/11/2025
   V6,Arteriovenous graft (or other vascular access not including a vascular catheter),09/11/2025
   V7,Arteriovenous fistula only (in use with two needles),09/11/2025
   V8,Infection present,09/11/2025
   V9,No infection present,09/11/2025
   VM,Medicare diabetes prevention program (mdpp) virtual make-up session,09/11/2025
   VP,Aphakic patient,09/11/2025
   X1,"Continuous/broad services: for reporting services by clinicians, who provide the principal care for a patient, with no planned endpoint of the relationship; services in this category represent comprehensive care, dealing with the entire scope of patient problems, either directly or in a care coordination role; reporting clinician service examples include, but are not limited to: primary care, and clinicians providing comprehensive care to patients in addition to specialty care",09/11/2025
   X2,Continuous/focused services: for reporting services by clinicians whose expertise is needed for the ongoing management of a chronic disease or a condition that needs to be managed and followed with no planned endpoint to the relationship; reporting clinician service examples include but are not limited to: a rheumatologist taking care of the patient's rheumatoid arthritis longitudinally but not providing general primary care services,09/11/2025
   X3,Episodic/broad services: for reporting services by clinicians who have broad responsibility for the comprehensive needs of the patient that is limited to a defined period and circumstance such as a hospitalization; reporting clinician service examples include but are not limited to the hospitalist's services rendered providing comprehensive and general care to a patient while admitted to the hospital,09/11/2025
   X4,"Episodic/focused services: for reporting services by clinicians who provide focused care on particular types of treatment limited to a defined period and circumstance; the patient has a problem, acute or chronic, that will be treated with surgery, radiation, or some other type of generally time-limited intervention; reporting clinician service examples include but are not limited to, the orthopedic surgeon performing a knee replacement and seeing the patient through the postoperative period",09/11/2025
   X5,"Diagnostic services requested by another clinician: for reporting services by a clinician who furnishes care to the patient only as requested by another clinician or subsequent and related services requested by another clinician; this modifier is reported for patient relationships that may not be adequately captured by the above alternative categories; reporting clinician service examples include but are not limited to, the radiologist's interpretation of an imaging study requested by another clinician",09/11/2025
   XE,"Separate encounter, a service that is distinct because it occurred during a separate encounter",09/11/2025
   XP,"Separate practitioner, a service that is distinct because it was performed by a different practitioner",09/11/2025
   XS,"Separate structure, a service that is distinct because it was performed on a separate organ/structure",09/11/2025
   XU,"Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service",09/11/2025
   ZA,Novartis/sandoz,09/11/2025
   ZB,Pfizer/hospira,09/11/2025
   ZC,Merck/samsung bioepis,09/11/2025
A0021,"Ambulance service, outside state per mile, transport (medicaid only)",09/11/2025
A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",09/11/2025
A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",09/11/2025
