code,description,detailed_description,last_updated
A072,Cryptosporidiosis,Cryptosporidiosis,09/11/2025
A073,Isosporiasis,Isosporiasis,09/11/2025
A078,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,09/11/2025
A079,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified",09/11/2025
A08,Viral and other specified intestinal infections,N/A,09/11/2025
A080,Rotaviral enteritis,Rotaviral enteritis,09/11/2025
A081,Acute gastroenteropathy due to Norovirus,Acute gastroenteropathy due to Norovirus,09/11/2025
A082,Adenoviral enteritis,Adenoviral enteritis,09/11/2025
A083,Other viral enteritis,Other viral enteritis,09/11/2025
A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified",09/11/2025
A085,Other specified intestinal infections,Other specified intestinal infections,09/11/2025
A09,Other gastroenteritis and colitis of infectious and unspecified origin,N/A,09/11/2025
A090,Other and unspecified gastroenteritis and colitis of infectious origin,Other and unspecified gastroenteritis and colitis of infectious origin,09/11/2025
A099,Gastroenteritis and colitis of unspecified origin,Gastroenteritis and colitis of unspecified origin,09/11/2025
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",N/A,09/11/2025
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy with or without culture",09/11/2025
A151,"Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only",09/11/2025
A152,"Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically",09/11/2025
A153,"Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means",09/11/2025
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",09/11/2025
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",09/11/2025
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically","Tuberculous pleurisy, confirmed bacteriologically and histologically",09/11/2025
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",09/11/2025
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically","Other respiratory tuberculosis, confirmed bacteriologically and histologically",09/11/2025
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",09/11/2025
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",N/A,09/11/2025
A160,"Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative",09/11/2025
A161,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done",09/11/2025
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation",09/11/2025
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",09/11/2025
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",09/11/2025
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",09/11/2025
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,09/11/2025
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",09/11/2025
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",09/11/2025
A17,Tuberculosis of nervous system,N/A,09/11/2025
A170,Tuberculous meningitis,Tuberculous meningitis,09/11/2025
A171,Meningeal tuberculoma,Meningeal tuberculoma,09/11/2025
A178,Other tuberculosis of nervous system,Other tuberculosis of nervous system,09/11/2025
A179,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified",09/11/2025
A18,Tuberculosis of other organs,N/A,09/11/2025
A180,Tuberculosis of bones and joints,Tuberculosis of bones and joints,09/11/2025
A181,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,09/11/2025
A182,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,09/11/2025
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands",09/11/2025
A184,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,09/11/2025
A185,Tuberculosis of eye,Tuberculosis of eye,09/11/2025
A186,Tuberculosis of ear,Tuberculosis of ear,09/11/2025
A187,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,09/11/2025
A188,Tuberculosis of other specified organs,Tuberculosis of other specified organs,09/11/2025
A19,Miliary tuberculosis,N/A,09/11/2025
A190,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,09/11/2025
A191,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,09/11/2025
A192,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",09/11/2025
A198,Other miliary tuberculosis,Other miliary tuberculosis,09/11/2025
A199,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified",09/11/2025
A20,Plague,N/A,09/11/2025
A200,Bubonic plague,Bubonic plague,09/11/2025
A201,Cellulocutaneous plague,Cellulocutaneous plague,09/11/2025
A202,Pneumonic plague,Pneumonic plague,09/11/2025
A203,Plague meningitis,Plague meningitis,09/11/2025
A207,Septicaemic plague,Septicaemic plague,09/11/2025
A208,Other forms of plague,Other forms of plague,09/11/2025
A209,"Plague, unspecified","Plague, unspecified",09/11/2025
A21,Tularaemia,N/A,09/11/2025
A210,Ulceroglandular tularaemia,Ulceroglandular tularaemia,09/11/2025
A211,Oculoglandular tularaemia,Oculoglandular tularaemia,09/11/2025
A212,Pulmonary tularaemia,Pulmonary tularaemia,09/11/2025
A213,Gastrointestinal tularaemia,Gastrointestinal tularaemia,09/11/2025
A217,Generalized tularaemia,Generalized tularaemia,09/11/2025
A218,Other forms of tularaemia,Other forms of tularaemia,09/11/2025
A219,"Tularaemia, unspecified","Tularaemia, unspecified",09/11/2025
A22,Anthrax,N/A,09/11/2025
A220,Cutaneous anthrax,Cutaneous anthrax,09/11/2025
A221,Pulmonary anthrax,Pulmonary anthrax,09/11/2025
A222,Gastrointestinal anthrax,Gastrointestinal anthrax,09/11/2025
A227,Anthrax sepsis,Anthrax sepsis,09/11/2025
A228,Other forms of anthrax,Other forms of anthrax,09/11/2025
A229,"Anthrax, unspecified","Anthrax, unspecified",09/11/2025
A23,Brucellosis,N/A,09/11/2025
A230,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis,09/11/2025
A231,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus,09/11/2025
A232,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis,09/11/2025
A233,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis,09/11/2025
A238,Other brucellosis,Other brucellosis,09/11/2025
A239,"Brucellosis, unspecified","Brucellosis, unspecified",09/11/2025
A24,Glanders and melioidosis,N/A,09/11/2025
A240,Glanders,Glanders,09/11/2025
A241,Acute and fulminating melioidosis,Acute and fulminating melioidosis,09/11/2025
A242,Subacute and chronic melioidosis,Subacute and chronic melioidosis,09/11/2025
A243,Other melioidosis,Other melioidosis,09/11/2025
A244,"Melioidosis, unspecified","Melioidosis, unspecified",09/11/2025
A25,Rat-bite fevers,N/A,09/11/2025
A250,Spirillosis,Spirillosis,09/11/2025
A251,Streptobacillosis,Streptobacillosis,09/11/2025
A259,"Rat-bite fever, unspecified","Rat-bite fever, unspecified",09/11/2025
A26,Erysipeloid,N/A,09/11/2025
A260,Cutaneous erysipeloid,Cutaneous erysipeloid,09/11/2025
A267,Erysipelothrix sepsis,Erysipelothrix sepsis,09/11/2025
A268,Other forms of erysipeloid,Other forms of erysipeloid,09/11/2025
A269,"Erysipeloid, unspecified","Erysipeloid, unspecified",09/11/2025
A27,Leptospirosis,N/A,09/11/2025
A270,Leptospirosis icterohaemorrhagica,Leptospirosis icterohaemorrhagica,09/11/2025
A278,Other forms of leptospirosis,Other forms of leptospirosis,09/11/2025
A279,"Leptospirosis, unspecified","Leptospirosis, unspecified",09/11/2025
A28,"Other zoonotic bacterial diseases, not elsewhere classified",N/A,09/11/2025
A280,Pasteurellosis,Pasteurellosis,09/11/2025
A281,Cat-scratch disease,Cat-scratch disease,09/11/2025
A282,Extraintestinal yersiniosis,Extraintestinal yersiniosis,09/11/2025
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified",09/11/2025
A289,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified",09/11/2025
A30,Leprosy [Hansen disease],N/A,09/11/2025
A300,Indeterminate leprosy,Indeterminate leprosy,09/11/2025
A301,Tuberculoid leprosy,Tuberculoid leprosy,09/11/2025
A302,Borderline tuberculoid leprosy,Borderline tuberculoid leprosy,09/11/2025
A303,Borderline leprosy,Borderline leprosy,09/11/2025
A304,Borderline lepromatous leprosy,Borderline lepromatous leprosy,09/11/2025
A305,Lepromatous leprosy,Lepromatous leprosy,09/11/2025
A308,Other forms of leprosy,Other forms of leprosy,09/11/2025
A309,"Leprosy, unspecified","Leprosy, unspecified",09/11/2025
A31,Infection due to other mycobacteria,N/A,09/11/2025
A310,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,09/11/2025
A311,Cutaneous mycobacterial infection,Cutaneous mycobacterial infection,09/11/2025
A318,Other mycobacterial infections,Other mycobacterial infections,09/11/2025
A319,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified",09/11/2025
A32,Listeriosis,N/A,09/11/2025
A320,Cutaneous listeriosis,Cutaneous listeriosis,09/11/2025
A321,Listerial meningitis and meningoencephalitis,Listerial meningitis and meningoencephalitis,09/11/2025
A327,Listerial sepsis,Listerial sepsis,09/11/2025
A328,Other forms of listeriosis,Other forms of listeriosis,09/11/2025
A329,"Listeriosis, unspecified","Listeriosis, unspecified",09/11/2025
A33,Tetanus neonatorum,N/A,09/11/2025
A34,Obstetrical tetanus,N/A,09/11/2025
A35,Other tetanus,N/A,09/11/2025
A36,Diphtheria,N/A,09/11/2025
A360,Pharyngeal diphtheria,Pharyngeal diphtheria,09/11/2025
A361,Nasopharyngeal diphtheria,Nasopharyngeal diphtheria,09/11/2025
A362,Laryngeal diphtheria,Laryngeal diphtheria,09/11/2025
A363,Cutaneous diphtheria,Cutaneous diphtheria,09/11/2025
A368,Other diphtheria,Other diphtheria,09/11/2025
A369,"Diphtheria, unspecified","Diphtheria, unspecified",09/11/2025
A37,Whooping cough,N/A,09/11/2025
A370,Whooping cough due to Bordetella pertussis,Whooping cough due to Bordetella pertussis,09/11/2025
A371,Whooping cough due to Bordetella parapertussis,Whooping cough due to Bordetella parapertussis,09/11/2025
A378,Whooping cough due to other Bordetella species,Whooping cough due to other Bordetella species,09/11/2025
A379,"Whooping cough, unspecified","Whooping cough, unspecified",09/11/2025
A38,Scarlet fever,N/A,09/11/2025
A39,Meningococcal infection,N/A,09/11/2025
A390,Meningococcal meningitis,Meningococcal meningitis,09/11/2025
A391,Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen syndrome,09/11/2025
A392,Acute meningococcaemia,Acute meningococcaemia,09/11/2025
A393,Chronic meningococcaemia,Chronic meningococcaemia,09/11/2025
A394,"Meningococcaemia, unspecified","Meningococcaemia, unspecified",09/11/2025
A395,Meningococcal heart disease,Meningococcal heart disease,09/11/2025
A398,Other meningococcal infections,Other meningococcal infections,09/11/2025
A399,"Meningococcal infection, unspecified","Meningococcal infection, unspecified",09/11/2025
A40,Streptococcal sepsis,N/A,09/11/2025
A400,"Sepsis due to streptococcus, group A","Sepsis due to streptococcus, group A",09/11/2025
A401,"Sepsis due to streptococcus, group B","Sepsis due to streptococcus, group B",09/11/2025
A402,"Sepsis due to streptococcus, group D and enterococcus","Sepsis due to streptococcus, group D and enterococcus",09/11/2025
A403,Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae,09/11/2025
A408,Other streptococcal sepsis,Other streptococcal sepsis,09/11/2025
A409,"Streptococcal sepsis, unspecified","Streptococcal sepsis, unspecified",09/11/2025
A41,Other sepsis,N/A,09/11/2025
A410,Sepsis due to Staphylococcus aureus,Sepsis due to Staphylococcus aureus,09/11/2025
A411,Sepsis due to other specified staphylococcus,Sepsis due to other specified staphylococcus,09/11/2025
A412,Sepsis due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus,09/11/2025
A413,Sepsis due to Haemophilus influenzae,Sepsis due to Haemophilus influenzae,09/11/2025
A414,Sepsis due to anaerobes,Sepsis due to anaerobes,09/11/2025
A415,Sepsis due to other Gram-negative organisms,Sepsis due to other Gram-negative organisms,09/11/2025
A418,Other specified sepsis,Other specified sepsis,09/11/2025
A419,"Sepsis, unspecified","Sepsis, unspecified",09/11/2025
A42,Actinomycosis,N/A,09/11/2025
A420,Pulmonary actinomycosis,Pulmonary actinomycosis,09/11/2025
A421,Abdominal actinomycosis,Abdominal actinomycosis,09/11/2025
A422,Cervicofacial actinomycosis,Cervicofacial actinomycosis,09/11/2025
A427,Actinomycotic sepsis,Actinomycotic sepsis,09/11/2025
A428,Other forms of actinomycosis,Other forms of actinomycosis,09/11/2025
A429,"Actinomycosis, unspecified","Actinomycosis, unspecified",09/11/2025
A43,Nocardiosis,N/A,09/11/2025
A430,Pulmonary nocardiosis,Pulmonary nocardiosis,09/11/2025
A431,Cutaneous nocardiosis,Cutaneous nocardiosis,09/11/2025
A438,Other forms of nocardiosis,Other forms of nocardiosis,09/11/2025
A439,"Nocardiosis, unspecified","Nocardiosis, unspecified",09/11/2025
A44,Bartonellosis,N/A,09/11/2025
A440,Systemic bartonellosis,Systemic bartonellosis,09/11/2025
A441,Cutaneous and mucocutaneous bartonellosis,Cutaneous and mucocutaneous bartonellosis,09/11/2025
A448,Other forms of bartonellosis,Other forms of bartonellosis,09/11/2025
A449,"Bartonellosis, unspecified","Bartonellosis, unspecified",09/11/2025
A46,Erysipelas,N/A,09/11/2025
A48,"Other bacterial diseases, not elsewhere classified",N/A,09/11/2025
A480,Gas gangrene,Gas gangrene,09/11/2025
A481,Legionnaires disease,Legionnaires disease,09/11/2025
A482,Nonpneumonic Legionnaires disease [Pontiac fever],Nonpneumonic Legionnaires disease [Pontiac fever],09/11/2025
A483,Toxic shock syndrome,Toxic shock syndrome,09/11/2025
A484,Brazilian purpuric fever,Brazilian purpuric fever,09/11/2025
A488,Other specified bacterial diseases,Other specified bacterial diseases,09/11/2025
A49,Bacterial infection of unspecified site,N/A,09/11/2025
A490,"Staphylococcal infection, unspecified site","Staphylococcal infection, unspecified site",09/11/2025
A491,"Streptococcal and enterococcal infection, unspecified site","Streptococcal and enterococcal infection, unspecified site",09/11/2025
A492,"Haemophilus influenzae infection, unspecified site","Haemophilus influenzae infection, unspecified site",09/11/2025
A493,"Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site",09/11/2025
A498,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site,09/11/2025
A499,"Bacterial infection, unspecified","Bacterial infection, unspecified",09/11/2025
A50,Congenital syphilis,N/A,09/11/2025
A500,"Early congenital syphilis, symptomatic","Early congenital syphilis, symptomatic",09/11/2025
A501,"Early congenital syphilis, latent","Early congenital syphilis, latent",09/11/2025
A502,"Early congenital syphilis, unspecified","Early congenital syphilis, unspecified",09/11/2025
A503,Late congenital syphilitic oculopathy,Late congenital syphilitic oculopathy,09/11/2025
A504,Late congenital neurosyphilis [juvenile neurosyphilis],Late congenital neurosyphilis [juvenile neurosyphilis],09/11/2025
A505,"Other late congenital syphilis, symptomatic","Other late congenital syphilis, symptomatic",09/11/2025
A506,"Late congenital syphilis, latent","Late congenital syphilis, latent",09/11/2025
A507,"Late congenital syphilis, unspecified","Late congenital syphilis, unspecified",09/11/2025
A509,"Congenital syphilis, unspecified","Congenital syphilis, unspecified",09/11/2025
A51,Early syphilis,N/A,09/11/2025
A510,Primary genital syphilis,Primary genital syphilis,09/11/2025
A511,Primary anal syphilis,Primary anal syphilis,09/11/2025
A512,Primary syphilis of other sites,Primary syphilis of other sites,09/11/2025
A513,Secondary syphilis of skin and mucous membranes,Secondary syphilis of skin and mucous membranes,09/11/2025
A514,Other secondary syphilis,Other secondary syphilis,09/11/2025
A515,"Early syphilis, latent","Early syphilis, latent",09/11/2025
A519,"Early syphilis, unspecified","Early syphilis, unspecified",09/11/2025
A52,Late syphilis,N/A,09/11/2025
A520,Cardiovascular syphilis,Cardiovascular syphilis,09/11/2025
A521,Symptomatic neurosyphilis,Symptomatic neurosyphilis,09/11/2025
A522,Asymptomatic neurosyphilis,Asymptomatic neurosyphilis,09/11/2025
A523,"Neurosyphilis, unspecified","Neurosyphilis, unspecified",09/11/2025
A527,Other symptomatic late syphilis,Other symptomatic late syphilis,09/11/2025
A528,"Late syphilis, latent","Late syphilis, latent",09/11/2025
A529,"Late syphilis, unspecified","Late syphilis, unspecified",09/11/2025
A53,Other and unspecified syphilis,N/A,09/11/2025
A530,"Latent syphilis, unspecified as early or late","Latent syphilis, unspecified as early or late",09/11/2025
A539,"Syphilis, unspecified","Syphilis, unspecified",09/11/2025
A54,Gonococcal infection,N/A,09/11/2025
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,09/11/2025
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,09/11/2025
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,09/11/2025
A543,Gonococcal infection of eye,Gonococcal infection of eye,09/11/2025
A544,Gonococcal infection of musculoskeletal system,Gonococcal infection of musculoskeletal system,09/11/2025
A545,Gonococcal pharyngitis,Gonococcal pharyngitis,09/11/2025
A546,Gonococcal infection of anus and rectum,Gonococcal infection of anus and rectum,09/11/2025
A548,Other gonococcal infections,Other gonococcal infections,09/11/2025
A549,"Gonococcal infection, unspecified","Gonococcal infection, unspecified",09/11/2025
A55,Chlamydial lymphogranuloma (venereum),N/A,09/11/2025
A56,Other sexually transmitted chlamydial diseases,N/A,09/11/2025
A560,Chlamydial infection of lower genitourinary tract,Chlamydial infection of lower genitourinary tract,09/11/2025
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,Chlamydial infection of pelviperitoneum and other genitourinary organs,09/11/2025
A562,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract, unspecified",09/11/2025
A563,Chlamydial infection of anus and rectum,Chlamydial infection of anus and rectum,09/11/2025
A564,Chlamydial infection of pharynx,Chlamydial infection of pharynx,09/11/2025
A568,Sexually transmitted chlamydial infection of other sites,Sexually transmitted chlamydial infection of other sites,09/11/2025
A57,Chancroid,N/A,09/11/2025
A58,Granuloma inguinale,N/A,09/11/2025
A59,Trichomoniasis,N/A,09/11/2025
A590,Urogenital trichomoniasis,Urogenital trichomoniasis,09/11/2025
A598,Trichomoniasis of other sites,Trichomoniasis of other sites,09/11/2025
A599,"Trichomoniasis, unspecified","Trichomoniasis, unspecified",09/11/2025
A60,Anogenital herpesviral [herpes simplex] infection,N/A,09/11/2025
A600,Herpesviral infection of genitalia and urogenital tract,Herpesviral infection of genitalia and urogenital tract,09/11/2025
A601,Herpesviral infection of perianal skin and rectum,Herpesviral infection of perianal skin and rectum,09/11/2025
A609,"Anogenital herpesviral infection, unspecified","Anogenital herpesviral infection, unspecified",09/11/2025
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",N/A,09/11/2025
A630,Anogenital (venereal) warts,Anogenital (venereal) warts,09/11/2025
A638,Other specified predominantly sexually transmitted diseases,Other specified predominantly sexually transmitted diseases,09/11/2025
A64,Unspecified sexually transmitted disease,N/A,09/11/2025
A65,Nonvenereal syphilis,N/A,09/11/2025
A66,Yaws,N/A,09/11/2025
A660,Initial lesions of yaws,Initial lesions of yaws,09/11/2025
A661,Multiple papillomata and wet crab yaws,Multiple papillomata and wet crab yaws,09/11/2025
A662,Other early skin lesions of yaws,Other early skin lesions of yaws,09/11/2025
A663,Hyperkeratosis of yaws,Hyperkeratosis of yaws,09/11/2025
A664,Gummata and ulcers of yaws,Gummata and ulcers of yaws,09/11/2025
A665,Gangosa,Gangosa,09/11/2025
A666,Bone and joint lesions of yaws,Bone and joint lesions of yaws,09/11/2025
A667,Other manifestations of yaws,Other manifestations of yaws,09/11/2025
A668,Latent yaws,Latent yaws,09/11/2025
A669,"Yaws, unspecified","Yaws, unspecified",09/11/2025
A67,Pinta [carate],N/A,09/11/2025
A670,Primary lesions of pinta,Primary lesions of pinta,09/11/2025
A671,Intermediate lesions of pinta,Intermediate lesions of pinta,09/11/2025
A672,Late lesions of pinta,Late lesions of pinta,09/11/2025
A673,Mixed lesions of pinta,Mixed lesions of pinta,09/11/2025
A679,"Pinta, unspecified","Pinta, unspecified",09/11/2025
A68,Relapsing fevers,N/A,09/11/2025
A680,Louse-borne relapsing fever,Louse-borne relapsing fever,09/11/2025
A681,Tick-borne relapsing fever,Tick-borne relapsing fever,09/11/2025
A689,"Relapsing fever, unspecified","Relapsing fever, unspecified",09/11/2025
A69,Other spirochaetal infections,N/A,09/11/2025
A690,Necrotizing ulcerative stomatitis,Necrotizing ulcerative stomatitis,09/11/2025
A691,Other Vincent infections,Other Vincent infections,09/11/2025
A692,Lyme disease,Lyme disease,09/11/2025
A698,Other specified spirochaetal infections,Other specified spirochaetal infections,09/11/2025
A699,"Spirochaetal infection, unspecified","Spirochaetal infection, unspecified",09/11/2025
A70,Chlamydia psittaci infection,N/A,09/11/2025
A71,Trachoma,N/A,09/11/2025
A710,Initial stage of trachoma,Initial stage of trachoma,09/11/2025
A711,Active stage of trachoma,Active stage of trachoma,09/11/2025
A719,"Trachoma, unspecified","Trachoma, unspecified",09/11/2025
A74,Other diseases caused by chlamydiae,N/A,09/11/2025
A740,Chlamydial conjunctivitis,Chlamydial conjunctivitis,09/11/2025
A748,Other chlamydial diseases,Other chlamydial diseases,09/11/2025
A749,"Chlamydial infection, unspecified","Chlamydial infection, unspecified",09/11/2025
A75,Typhus fever,N/A,09/11/2025
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,09/11/2025
A751,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill disease],09/11/2025
A752,Typhus fever due to Rickettsia typhi,Typhus fever due to Rickettsia typhi,09/11/2025
A753,Typhus fever due to Rickettsia tsutsugamushi,Typhus fever due to Rickettsia tsutsugamushi,09/11/2025
A759,"Typhus fever, unspecified","Typhus fever, unspecified",09/11/2025
A77,Spotted fever [tick-borne rickettsioses],N/A,09/11/2025
A770,Spotted fever due to Rickettsia rickettsii,Spotted fever due to Rickettsia rickettsii,09/11/2025
A771,Spotted fever due to Rickettsia conorii,Spotted fever due to Rickettsia conorii,09/11/2025
A772,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia sibirica,09/11/2025
